,subjects
IC200926A,"['SUBJECT: IceCube-200926A: IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube Alert 200926.33: Global MASTER-Net observations report ', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-200926A', 'SUBJECT: Swift-XRT observations of IceCube 200926A', 'SUBJECT: IceCube Alert 200926.94: Global MASTER-Net observations report ', 'SUBJECT: IceCube-200926A: Upper limits from a search for additional neutrino events in IceCube', 'SUBJECT: IceCube-200926A: No significant detection in HAWC', 'SUBJECT: IceCube-200926A: Upper limits from Fermi-GBM Observations', 'SUBJECT: IceCube-200926A: JCMT/SCUBA2 observations ', 'SUBJECT: IceCube-200926A: No candidate counterparts from the Zwicky Transient Facility', 'SUBJECT: IceCube-200926A: No usable INTEGRAL data', 'SUBJECT: IceCube-200926A: Upper limits from Insight-HXMT Observations ']"
IC200926B,"['SUBJECT: IceCube-200926B: IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube-200926B: No neutrino counterpart candidates in ANTARES search', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-200926B', 'SUBJECT: IceCube-200926B: Upper limits from a search for additional neutrino events in IceCube', 'SUBJECT: IceCube-200926B: Upper limits from Fermi-GBM Observations', 'SUBJECT: IceCube-200926B: No significant detection in HAWC', 'SUBJECT: IceCube-200926B: No counterpart candidates in INTEGRAL SPI-ACS and IBIS prompt observation']"
IC200929A,"['SUBJECT: IceCube-200929A: No Candidate Counterparts from the Zwicky Transient Facility', 'SUBJECT: IceCube Alert 200929.74: Global MASTER-Net observations report ', 'SUBJECT: IceCube-200929A: IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube-200929A: No neutrino counterpart candidates in ANTARES search', 'SUBJECT: IceCube-200929A: Upper limits from Fermi-GBM Observations', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-200929A', 'SUBJECT: Swift-XRT observations of IceCube 200929A', 'SUBJECT: IceCube-200929A: Upper limits from a search for additional neutrino events in IceCube', 'SUBJECT: IceCube-200929A: No significant detection in HAWC', 'SUBJECT: IceCube-200929A: No counterpart candidates in INTEGRAL SPI-ACS and IBIS prompt observation', 'SUBJECT: IceCube-200929A: JCMT/SCUBA2 observations ']"
IC201007A,"['SUBJECT: IceCube Alert 201007.92: Global MASTER-Net observations report ', 'SUBJECT: IceCube-201007A - IceCube observation of a high-energy neutrino candidate track-like event ', 'SUBJECT: IceCube-201007A: No counterpart candidates in INTEGRAL SPI-ACS and IBIS prompt observation', 'SUBJECT: Swift-XRT observations of IceCube 201007A', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-201007A ', 'SUBJECT: IceCube-201007A: Upper limits from Fermi-GBM Observations', 'SUBJECT: IceCube-201007A: Upper limits from a search for additional neutrino events in IceCube', 'SUBJECT: IceCube-201007A: No significant detection in HAWC', 'SUBJECT: IceCube-201007A: No candidate counterparts from the Zwicky Transient Facility']"
IC201014A,"['SUBJECT: IceCube-201014A - IceCube observation of a high-energy neutrino candidate track-like event ', 'SUBJECT: IceCube-201014A: No counterpart candidates in INTEGRAL SPI-ACS and IBIS prompt observation', 'SUBJECT: IceCube-201014A: Not observable by GBM', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-201014A', 'SUBJECT: IceCube-201014A: No neutrino counterpart candidates in ANTARES search', 'SUBJECT: IceCube Alert 201014.09: Global MASTER-Net observations report ', 'SUBJECT: IceCube-201014A: Upper limits from a search for additional neutrino events in IceCube', 'SUBJECT: IceCube-201014A: No significant detection in HAWC']"
IC201021A,"['SUBJECT: IceCube-201021A: IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube Alert 201021.28: Global MASTER-Net observations report ', 'SUBJECT: Swift-XRT observations of IceCube 201021A', 'SUBJECT: IceCube-201021A: No counterpart candidates in INTEGRAL SPI-ACS and IBIS prompt observation', 'SUBJECT: IceCube-201021A: Upper limits from Fermi-GBM Observations', 'SUBJECT: IceCube-201021A: No neutrino counterpart candidates in ANTARES search', 'SUBJECT: IceCube-201021A: Upper limits from a search for additional neutrino events in IceCube', 'SUBJECT: Swift-XRT observations of IceCube 201021A (2)', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-201021A and detection of a new gamma-ray source, Fermi J1725.5+1312', 'SUBJECT: IceCube-201021A: Optical counterpart of WISEA J172314.13+142101.5', 'SUBJECT: IceCube-201021A: One candidate counterpart from the Zwicky Transient Facility', 'SUBJECT: IceCube-201021A: No significant detection in HAWC', 'SUBJECT: IceCube 201021A: Swift follow-up of Fermi J1725.5+1312']"
IC201114A,"['SUBJECT: IceCube-201114A - IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube Alert 201114.63: Global MASTER-Net observations report ', 'SUBJECT: IceCube-201114A: No neutrino counterpart candidates in ANTARES search', 'SUBJECT: Swift-XRT observations of IceCube 201114A', 'SUBJECT: IceCube-201114A: Upper limits from Fermi GBM Observations', 'SUBJECT: IceCube-201114A: No counterpart candidates in INTEGRAL SPI-ACS and IBIS prompt observation', 'SUBJECT: IceCube-201114A: No significant detection in HAWC', 'SUBJECT: IceCube-201114A: Upper limits from a search for additional neutrino events in IceCube', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-201114A', 'SUBJECT: IceCube 201114A: Swift followup of Fermi J0703.5+0505', 'SUBJECT: IceCube-201114A: DECam observations and candidate optical counterpart', 'SUBJECT: IceCube-201114A: Updated photometry for three DECam candidate optical counterparts']"
IC201115A,"['SUBJECT: IceCube-201115A: IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: VLASS identifies possible radio counterparts to IceCube-201115A, including a bright BL Lac candidate', 'SUBJECT: IceCube-201115A: not observable by Fermi-GBM', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-201115A', 'SUBJECT: IceCube Alert 201115.09: Global MASTER-Net observations report ', 'SUBJECT: IceCube-201115A: No neutrino counterpart candidates in ANTARES search ', 'SUBJECT: IceCube-201115A: No counterpart candidates in INTEGRAL SPI-ACS and IBIS prompt observation', 'SUBJECT: IceCube-201115A: No significant detection in HAWC', 'SUBJECT: IceCube-201115A: Upper limits from a search for additional neutrino events in IceCube', 'SUBJECT: IceCube Alert 201115.67: Global MASTER-Net observations report ']"
IC201115B,[]
IC201120A,"['SUBJECT: IceCube-201120A: IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube Alert 201120.41: Global MASTER-Net observations report ', 'SUBJECT: IceCube-201120A: Upper limits from Fermi-GBM Observations', 'SUBJECT: IceCube-201120A: Swift-XRT non-detection of 4FGL J2028.6+4110e', 'SUBJECT: IceCube-201120A: No counterpart candidates in INTEGRAL SPI-ACS and IBIS prompt observation', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-201120A', 'SUBJECT: IceCube-201120A: Upper limits from a search for additional neutrino events in IceCube', 'SUBJECT: IceCube-201120A in the Cygnus region: No enhanced TeV gamma-ray flux detected by HAWC']"
IC201130A,"['SUBJECT: IceCube Alert 201130.85: Global MASTER-Net observations report ', 'SUBJECT: IceCube-201130A: IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: Swift-XRT observations of IceCube 201130A', 'SUBJECT: IceCube-201130A: Not observable by Fermi-GBM', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-201130A', 'SUBJECT: Swift observations of the Fermi-LAT source 4FGL J0206.4-1151 in the error region of IceCube-201130A', 'SUBJECT: IceCube-201130A: No counterpart candidates in INTEGRAL SPI-ACS and IBIS prompt observation', 'SUBJECT: IceCube-201130A: Upper limits from a search for additional neutrino events in IceCube', 'SUBJECT: IceCube-201130A: No significant detection in HAWC', 'SUBJECT: IceCube-201130A: No Candidate Counterparts from the Zwicky Transient Facility', 'SUBJECT: Swift follow-up observations of the flat spectrum radio quasar PMN J0206-1150 in the error region of IceCube-201130A', 'SUBJECT: IceCube-201130A: Optical and NIR Imaging Follow-up by Kanata Telescope']"
IC201209A,"['SUBJECT: IceCube-201209A: IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube-201209A: No counterpart candidates in INTEGRAL SPI-ACS and IBIS prompt observation', 'SUBJECT: IceCube Alert 201209.43: Global MASTER-Net observations report ', 'SUBJECT: IceCube-201209A: No neutrino counterpart candidates in ANTARES search ', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-201209A', 'SUBJECT: IceCube-201209A: Upper limits from Fermi-GBM Observations', 'SUBJECT: IceCube-201209A: Upper limits from a search for additional neutrino events in IceCube', 'SUBJECT: IceCube-201209A: No Candidate Counterparts from the Zwicky Transient Facility', 'SUBJECT: IceCube-201209: No significant detection in HAWC', 'SUBJECT: IceCube-201209A: Upper limits from Insight-HXMT/HE observations', 'SUBJECT: IceCube-201209A : MAXI/GSC upper limit']"
IC201221A,"['SUBJECT: IceCube-201221A: IceCube observation of a high-energy neutrino candidate event ', 'SUBJECT: IceCube-201221A: No counterpart candidates in INTEGRAL SPI-ACS and IBIS prompt observation', 'SUBJECT: IceCube-201221A: not observable by Fermi-GBM', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-201221A', 'SUBJECT: IceCube-201221A: Upper limits from Insight-HXMT/HE observations', 'SUBJECT: IceCube-201221A: No significant detection in HAWC', 'SUBJECT: IceCube-201221A: Upper limits from a search for additional neutrino events in IceCube']"
IC201222A,"['SUBJECT: IceCube-201222A: IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube Alert 201222.04: Global MASTER-Net observations report ', 'SUBJECT: IceCube-201222A: No counterpart candidates in INTEGRAL SPI-ACS and IBIS prompt observation', 'SUBJECT: IceCube-201222A: not observable by Fermi-GBM', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-201222A', 'SUBJECT: IceCube-201222A: No significant detection in HAWC', 'SUBJECT: IceCube-201222A: Upper limits from a search for additional neutrino events in IceCube', 'SUBJECT: IceCube-201222A: No Candidate Counterparts from the Zwicky Transient Facility']"
IC210210A,"['SUBJECT: IceCube-210210A: IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: IceCube-210210A: Two Candidate Counterparts from the Zwicky Transient Facility', 'SUBJECT: IceCube-210210A: No counterpart candidates in INTEGRAL SPI-ACS and IBIS prompt observation', 'SUBJECT: IceCube-210210A: Upper limits from Fermi-GBM Observations', 'SUBJECT: IceCube Alert 210210.50: Global MASTER-Net observations report ', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-210210A', 'SUBJECT: IceCube-210210A: No neutrino counterpart in ANTARES', 'SUBJECT: Swift-XRT observations of IceCube-210210A', 'SUBJECT: IceCube-210210A: Upper limits from a search for additional neutrino events in IceCube', 'SUBJECT: IceCube-210210A: Four Candidate Optical Counterparts from DECam Observations', 'SUBJECT: IceCube-210210A: Two Additional Optical Candidate Counterparts Found by DECam']"
IC210213A,['SUBJECT: IceCube Alert 210213.78: Global MASTER-Net observations report ']
IC210322A,['SUBJECT: IceCube Alert 210322.11: Global MASTER-Net observations report ']
IC210503A,"['SUBJECT: IceCube-210503A: IceCube observation of a high-energy neutrino candidate event', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-210503A and detection of a new gamma-ray source, Fermi J0931.9+3633']"
IC210510A,"['SUBJECT: IceCube-210510A - IceCube observation of a high-energy neutrino candidate track-like event', 'SUBJECT: IceCube-210510A: DDOTI Upper Limits ', 'SUBJECT: IceCube Alert 210510.20: Global MASTER-Net observations report ', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-210510A', 'SUBJECT: IceCube-210510A: No candidate counterparts from the Zwicky Transient Facility', 'SUBJECT: IceCube-210510A: not observable by Fermi-GBM', 'SUBJECT: IceCube-210510A: Upper limits from a search for additional neutrino events in IceCube', 'SUBJECT: IceCube-210510A: No counterpart candidates in INTEGRAL SPI-ACS and IBIS prompt observation']"
IC210516A,"['SUBJECT: IceCube-210516A - IceCube observation of a high-energy neutrino candidate track-like event', 'SUBJECT: IceCube Alert 210516.61: Global MASTER-Net observations report ', 'SUBJECT: IceCube-210516A: Upper limits from a search for additional neutrino events in IceCube', 'SUBJECT: IceCube-210516A: No significant detection in HAWC', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-210516A', 'SUBJECT: IceCube-210516A: No counterpart candidates in INTEGRAL SPI-ACS and IBIS prompt observation']"
IC210519A,['SUBJECT: IceCube Alert 210519.86: Global MASTER-Net observations report ']
IC210608A,"['SUBJECT: IceCube Alert 210608.15: Global MASTER-Net observations report ', 'SUBJECT: IceCube-210608A: IceCube observation of a high-energy neutrino candidate track-like event', 'SUBJECT: IceCube-210608A: not observable by Fermi-GBM', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-210608A']"
IC210629A,"['SUBJECT: IceCube-210629A - IceCube observation of a high-energy neutrino candidate track-like event', 'SUBJECT: IceCube Alert 210629.76: Global MASTER-Net observations report ', 'SUBJECT: IceCube-210629A: Upper limits from Fermi-GBM Observations', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-210629A', 'SUBJECT: IceCube-210629A: No counterpart candidates in INTEGRAL SPI-ACS and IBIS prompt observation', 'SUBJECT: IceCube-210629A: One Candidate Counterpart from the Zwicky Transient Facility', 'SUBJECT: IceCube-210629A: Upper limits from a search for additional neutrino events in IceCube', 'SUBJECT: IceCube-210629A - Spectroscopic observation of AT2021osi']"
IC210717A,"['SUBJECT: IceCube-210717A: IceCube observation of a high-energy neutrino candidate track-like event', 'SUBJECT: IceCube-210717A: No counterpart candidates in INTEGRAL SPI-ACS and IBIS prompt observation', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-210717A']"
IC210730A,"['SUBJECT: IceCube-210730A - IceCube observation of a high-energy neutrino candidate track-like event', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-210730A ', 'SUBJECT: IceCube-210730A: No counterpart candidates in INTEGRAL SPI-ACS and IBIS prompt observation', 'SUBJECT: IceCube-210730A: not observable by Fermi-GBM']"
IC210811A,"['SUBJECT: IceCube Alert 210811.09: Global MASTER-Net observations report ', 'SUBJECT: IceCube-210811A - IceCube observation of a high-energy neutrino candidate track-like event', 'SUBJECT: Fermi-LAT Gamma-ray Observations of IceCube-210811A', 'SUBJECT: IceCube-210811A: No Candidate Counterparts from the Zwicky Transient Facility', 'SUBJECT: IceCube-210811A: Upper limits from Fermi-GBM Observations', 'SUBJECT: IceCube-210811A: Upper limits from a search for additional neutrino events in IceCube']"
